POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,9,0022301209,2023-12-06,1610612737,ATL,1610612751,BKN,9.0,35.0,65.0,13.715237383475595,-4.7152373834755945,24.137078904057265,10.862921095942735,80.18007287320029,-15.180072873200288,1,13.715237383475595,-4.7152373834755945
F,35,0022301209,2023-12-06,1610612737,ATL,1610612751,BKN,9.0,35.0,65.0,13.715237383475595,-4.7152373834755945,24.137078904057265,10.862921095942735,80.18007287320029,-15.180072873200288,1,24.137078904057265,10.862921095942735
G,65,0022301209,2023-12-06,1610612737,ATL,1610612751,BKN,9.0,35.0,65.0,13.715237383475595,-4.7152373834755945,24.137078904057265,10.862921095942735,80.18007287320029,-15.180072873200288,1,80.18007287320029,-15.180072873200288
C,9,0022301209,2023-12-06,1610612737,ATL,1610612751,BKN,9.0,35.0,65.0,13.715237383475595,-4.7152373834755945,24.137078904057265,10.862921095942735,80.18007287320029,-15.180072873200288,2,13.715237383475595,-4.7152373834755945
F,35,0022301209,2023-12-06,1610612737,ATL,1610612751,BKN,9.0,35.0,65.0,13.715237383475595,-4.7152373834755945,24.137078904057265,10.862921095942735,80.18007287320029,-15.180072873200288,2,24.137078904057265,10.862921095942735
G,65,0022301209,2023-12-06,1610612737,ATL,1610612751,BKN,9.0,35.0,65.0,13.715237383475595,-4.7152373834755945,24.137078904057265,10.862921095942735,80.18007287320029,-15.180072873200288,2,80.18007287320029,-15.180072873200288
C,15,0022301218,2023-12-08,1610612737,ATL,1610612755,PHI,15.0,40.0,56.0,13.97769832400413,1.0223016759958696,27.377675366642755,12.622324633357245,75.24038628306816,-19.240386283068162,3,13.97769832400413,1.0223016759958696
F,40,0022301218,2023-12-08,1610612737,ATL,1610612755,PHI,15.0,40.0,56.0,13.97769832400413,1.0223016759958696,27.377675366642755,12.622324633357245,75.24038628306816,-19.240386283068162,3,27.377675366642755,12.622324633357245
G,56,0022301218,2023-12-08,1610612737,ATL,1610612755,PHI,15.0,40.0,56.0,13.97769832400413,1.0223016759958696,27.377675366642755,12.622324633357245,75.24038628306816,-19.240386283068162,3,75.24038628306816,-19.240386283068162
C,15,0022301218,2023-12-08,1610612737,ATL,1610612755,PHI,15.0,40.0,56.0,13.97769832400413,1.0223016759958696,27.377675366642755,12.622324633357245,75.24038628306816,-19.240386283068162,4,13.97769832400413,1.0223016759958696
