Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,ORL,19.9,50.9,70.2,2.0,10.7,3.0,1.5,1.4,2.8
,BOS,20.1,44.7,72.5,2.2,10.7,3.5,1.2,0.9,2.1
,OKC,20.6,44.8,73.7,2.7,10.4,3.6,1.2,1.1,2.7
,NY,20.6,48.1,76.0,2.2,10.0,3.7,1.2,1.3,2.6
,HOU,20.9,46.7,70.4,1.9,10.0,3.5,1.4,1.5,2.9
