POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,ROLLING_AVG_PTS,GAMES_PLAYED,PTS_DIFF
C,13,0022300079,2023-10-27,1610612737,ATL,1610612752,NYK,13.0,1,0.0
C,13,0022300079,2023-10-27,1610612737,ATL,1610612752,NYK,13.0,2,0.0
F,32,0022300079,2023-10-27,1610612737,ATL,1610612752,NYK,32.0,1,0.0
F,32,0022300079,2023-10-27,1610612737,ATL,1610612752,NYK,32.0,2,0.0
G,69,0022300079,2023-10-27,1610612737,ATL,1610612752,NYK,69.0,1,0.0
G,69,0022300079,2023-10-27,1610612737,ATL,1610612752,NYK,69.0,2,0.0
C,17,0022300080,2023-10-27,1610612738,BOS,1610612748,MIA,17.0,1,0.0
C,17,0022300080,2023-10-27,1610612738,BOS,1610612748,MIA,17.0,2,0.0
F,49,0022300080,2023-10-27,1610612738,BOS,1610612748,MIA,49.0,1,0.0
F,49,0022300080,2023-10-27,1610612738,BOS,1610612748,MIA,49.0,2,0.0
G,50,0022300080,2023-10-27,1610612738,BOS,1610612748,MIA,50.0,1,0.0
G,50,0022300080,2023-10-27,1610612738,BOS,1610612748,MIA,50.0,2,0.0
C,14,0022300081,2023-10-27,1610612739,CLE,1610612760,OKC,14.0,1,0.0
C,33,0022300091,2023-10-28,1610612739,CLE,1610612754,IND,24.45,1,8.55
F,18,0022300081,2023-10-27,1610612739,CLE,1610612760,OKC,18.0,1,0.0
F,17,0022300091,2023-10-28,1610612739,CLE,1610612754,IND,17.45,1,-0.4499999999999993
G,70,0022300081,2023-10-27,1610612739,CLE,1610612760,OKC,70.0,1,0.0
G,59,0022300091,2023-10-28,1610612739,CLE,1610612754,IND,63.949999999999996,1,-4.949999999999996
C,11,0022300082,2023-10-27,1610612741,CHI,1610612761,TOR,11.0,1,0.0
F,36,0022300082,2023-10-27,1610612741,CHI,1610612761,TOR,36.0,1,0.0
G,53,0022300082,2023-10-27,1610612741,CHI,1610612761,TOR,53.0,1,0.0
