Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,NY,19.3,56.4,69.2,1.0,13.5,3.8,1.3,1.9,2.7
,ORL,19.7,54.3,72.3,0.8,13.7,3.4,1.3,1.8,3.0
,BOS,19.9,53.4,74.0,1.0,15.3,3.6,0.9,1.3,2.4
,MIN,20.0,52.7,73.6,0.8,14.3,4.1,1.4,1.9,2.9
,OKC,20.4,51.4,68.1,1.0,15.3,4.2,1.1,1.9,3.3
