POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,ROLLING_AVG_PTS,GAMES_PLAYED,PTS_DIFF
C,2,0022300104,2023-10-30,1610612737,ATL,1610612750,MIN,2.0,1,0.0
C,2,0022300104,2023-10-30,1610612737,ATL,1610612750,MIN,2.0,2,0.0
F,28,0022300104,2023-10-30,1610612737,ATL,1610612750,MIN,28.0,1,0.0
F,28,0022300104,2023-10-30,1610612737,ATL,1610612750,MIN,28.0,2,0.0
G,94,0022300104,2023-10-30,1610612737,ATL,1610612750,MIN,94.0,1,0.0
G,94,0022300104,2023-10-30,1610612737,ATL,1610612750,MIN,94.0,2,0.0
C,15,0022300103,2023-10-30,1610612738,BOS,1610612764,WAS,15.0,1,0.0
C,15,0022300103,2023-10-30,1610612738,BOS,1610612764,WAS,15.0,2,0.0
F,69,0022300103,2023-10-30,1610612738,BOS,1610612764,WAS,69.0,1,0.0
F,69,0022300103,2023-10-30,1610612738,BOS,1610612764,WAS,69.0,2,0.0
G,32,0022300103,2023-10-30,1610612738,BOS,1610612764,WAS,32.0,1,0.0
G,32,0022300103,2023-10-30,1610612738,BOS,1610612764,WAS,32.0,2,0.0
C,11,0022300108,2023-10-30,1610612740,NOP,1610612744,GSW,11.0,1,0.0
F,23,0022300108,2023-10-30,1610612740,NOP,1610612744,GSW,23.0,1,0.0
G,68,0022300108,2023-10-30,1610612740,NOP,1610612744,GSW,68.0,1,0.0
C,24,0022300102,2023-10-30,1610612741,CHI,1610612754,IND,24.0,1,0.0
C,24,0022300102,2023-10-30,1610612741,CHI,1610612754,IND,24.0,2,0.0
F,29,0022300102,2023-10-30,1610612741,CHI,1610612754,IND,29.0,1,0.0
F,29,0022300102,2023-10-30,1610612741,CHI,1610612754,IND,29.0,2,0.0
G,59,0022300102,2023-10-30,1610612741,CHI,1610612754,IND,59.0,1,0.0
G,59,0022300102,2023-10-30,1610612741,CHI,1610612754,IND,59.0,2,0.0
C,2,0022300106,2023-10-30,1610612742,DAL,1610612763,MEM,2.0,1,0.0
C,2,0022300106,2023-10-30,1610612742,DAL,1610612763,MEM,2.0,2,0.0
F,37,0022300106,2023-10-30,1610612742,DAL,1610612763,MEM,37.0,1,0.0
F,37,0022300106,2023-10-30,1610612742,DAL,1610612763,MEM,37.0,2,0.0
G,78,0022300106,2023-10-30,1610612742,DAL,1610612763,MEM,78.0,1,0.0
G,78,0022300106,2023-10-30,1610612742,DAL,1610612763,MEM,78.0,2,0.0
C,27,0022300110,2023-10-30,1610612743,DEN,1610612762,UTA,27.0,1,0.0
C,27,0022300110,2023-10-30,1610612743,DEN,1610612762,UTA,27.0,2,0.0
F,29,0022300110,2023-10-30,1610612743,DEN,1610612762,UTA,29.0,1,0.0
F,29,0022300110,2023-10-30,1610612743,DEN,1610612762,UTA,29.0,2,0.0
G,50,0022300110,2023-10-30,1610612743,DEN,1610612762,UTA,50.0,1,0.0
G,50,0022300110,2023-10-30,1610612743,DEN,1610612762,UTA,50.0,2,0.0
C,8,0022300108,2023-10-30,1610612744,GSW,1610612740,NOP,8.0,1,0.0
F,15,0022300108,2023-10-30,1610612744,GSW,1610612740,NOP,15.0,1,0.0
G,102,0022300108,2023-10-30,1610612744,GSW,1610612740,NOP,102.0,1,0.0
C,26,0022300111,2023-10-30,1610612747,LAL,1610612753,ORL,26.0,1,0.0
C,26,0022300111,2023-10-30,1610612747,LAL,1610612753,ORL,26.0,2,0.0
F,23,0022300111,2023-10-30,1610612747,LAL,1610612753,ORL,23.0,1,0.0
F,23,0022300111,2023-10-30,1610612747,LAL,1610612753,ORL,23.0,2,0.0
G,57,0022300111,2023-10-30,1610612747,LAL,1610612753,ORL,57.0,1,0.0
G,57,0022300111,2023-10-30,1610612747,LAL,1610612753,ORL,57.0,2,0.0
C,10,0022300107,2023-10-30,1610612748,MIA,1610612749,MIL,10.0,1,0.0
C,10,0022300107,2023-10-30,1610612748,MIA,1610612749,MIL,10.0,2,0.0
F,16,0022300107,2023-10-30,1610612748,MIA,1610612749,MIL,16.0,1,0.0
F,16,0022300107,2023-10-30,1610612748,MIA,1610612749,MIL,16.0,2,0.0
G,83,0022300107,2023-10-30,1610612748,MIA,1610612749,MIL,83.0,1,0.0
G,83,0022300107,2023-10-30,1610612748,MIA,1610612749,MIL,83.0,2,0.0
C,11,0022300107,2023-10-30,1610612749,MIL,1610612748,MIA,11.0,1,0.0
C,11,0022300107,2023-10-30,1610612749,MIL,1610612748,MIA,11.0,2,0.0
F,38,0022300107,2023-10-30,1610612749,MIL,1610612748,MIA,38.0,1,0.0
F,38,0022300107,2023-10-30,1610612749,MIL,1610612748,MIA,38.0,2,0.0
G,73,0022300107,2023-10-30,1610612749,MIL,1610612748,MIA,73.0,1,0.0
G,73,0022300107,2023-10-30,1610612749,MIL,1610612748,MIA,73.0,2,0.0
C,14,0022300104,2023-10-30,1610612750,MIN,1610612737,ATL,14.0,1,0.0
C,14,0022300104,2023-10-30,1610612750,MIN,1610612737,ATL,14.0,2,0.0
F,28,0022300104,2023-10-30,1610612750,MIN,1610612737,ATL,28.0,1,0.0
F,28,0022300104,2023-10-30,1610612750,MIN,1610612737,ATL,28.0,2,0.0
G,67,0022300104,2023-10-30,1610612750,MIN,1610612737,ATL,67.0,1,0.0
G,67,0022300104,2023-10-30,1610612750,MIN,1610612737,ATL,67.0,2,0.0
C,19,0022300101,2023-10-30,1610612751,BKN,1610612766,CHA,19.0,1,0.0
C,19,0022300101,2023-10-30,1610612751,BKN,1610612766,CHA,19.0,2,0.0
F,57,0022300101,2023-10-30,1610612751,BKN,1610612766,CHA,57.0,1,0.0
F,57,0022300101,2023-10-30,1610612751,BKN,1610612766,CHA,57.0,2,0.0
G,46,0022300101,2023-10-30,1610612751,BKN,1610612766,CHA,46.0,1,0.0
G,46,0022300101,2023-10-30,1610612751,BKN,1610612766,CHA,46.0,2,0.0
C,10,0022300111,2023-10-30,1610612753,ORL,1610612747,LAL,10.0,1,0.0
C,10,0022300111,2023-10-30,1610612753,ORL,1610612747,LAL,10.0,2,0.0
F,25,0022300111,2023-10-30,1610612753,ORL,1610612747,LAL,25.0,1,0.0
