Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,NO,24.5,46.8,77.9,3.5,7.6,4.7,1.8,0.8,2.3
,DEN,23.5,47.8,81.4,3.2,7.2,4.8,1.7,0.8,2.2
,MEM,23.2,44.8,79.9,2.9,7.7,4.5,1.7,0.9,2.5
,POR,23.0,47.5,82.4,2.9,8.0,4.6,1.8,0.9,2.4
,ATL,22.8,47.1,81.8,3.0,7.4,4.7,1.8,0.8,2.4
