POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,ROLLING_AVG_PTS,GAMES_PLAYED,PTS_DIFF
C,30,0022300065,2023-10-25,1610612738,BOS,1610612752,NYK,30.0,1,0.0
F,45,0022300065,2023-10-25,1610612738,BOS,1610612752,NYK,45.0,1,0.0
G,29,0022300065,2023-10-25,1610612738,BOS,1610612752,NYK,29.0,1,0.0
C,10,0022300067,2023-10-25,1610612739,CLE,1610612751,BKN,10.0,1,0.0
C,14,0022300081,2023-10-27,1610612739,CLE,1610612760,OKC,12.2,1,1.8000000000000007
F,45,0022300067,2023-10-25,1610612739,CLE,1610612751,BKN,45.0,1,0.0
F,18,0022300081,2023-10-27,1610612739,CLE,1610612760,OKC,30.15,1,-12.149999999999999
G,53,0022300067,2023-10-25,1610612739,CLE,1610612751,BKN,53.0,1,0.0
G,70,0022300081,2023-10-27,1610612739,CLE,1610612760,OKC,62.35,1,7.649999999999999
C,11,0022300070,2023-10-25,1610612741,CHI,1610612760,OKC,11.0,1,0.0
C,11,0022300082,2023-10-27,1610612741,CHI,1610612761,TOR,11.0,1,0.0
F,28,0022300070,2023-10-25,1610612741,CHI,1610612760,OKC,28.0,1,0.0
F,36,0022300082,2023-10-27,1610612741,CHI,1610612761,TOR,32.4,1,3.6000000000000014
G,57,0022300070,2023-10-25,1610612741,CHI,1610612760,OKC,57.0,1,0.0
G,53,0022300082,2023-10-27,1610612741,CHI,1610612761,TOR,54.8,1,-1.7999999999999972
C,6,0022300073,2023-10-25,1610612742,DAL,1610612759,SAS,6.0,1,0.0
C,9,0022300084,2023-10-27,1610612742,DAL,1610612751,BKN,7.6499999999999995,1,1.3500000000000005
C,9,0022300084,2023-10-27,1610612742,DAL,1610612751,BKN,8.192691029900333,2,0.8073089700996672
F,17,0022300073,2023-10-25,1610612742,DAL,1610612759,SAS,17.0,1,0.0
F,9,0022300084,2023-10-27,1610612742,DAL,1610612751,BKN,12.6,1,-3.5999999999999996
F,9,0022300084,2023-10-27,1610612742,DAL,1610612751,BKN,11.15282392026578,2,-2.1528239202657797
G,99,0022300073,2023-10-25,1610612742,DAL,1610612759,SAS,99.0,1,0.0
G,103,0022300084,2023-10-27,1610612742,DAL,1610612751,BKN,101.2,1,1.7999999999999972
G,103,0022300084,2023-10-27,1610612742,DAL,1610612751,BKN,101.92358803986711,2,1.0764119601328872
C,22,0022300078,2023-10-27,1610612743,DEN,1610612763,MEM,22.0,1,0.0
F,19,0022300078,2023-10-27,1610612743,DEN,1610612763,MEM,19.0,1,0.0
G,67,0022300078,2023-10-27,1610612743,DEN,1610612763,MEM,67.0,1,0.0
C,20,0022300074,2023-10-25,1610612746,LAC,1610612757,POR,20.0,1,0.0
C,6,0022300085,2023-10-27,1610612746,LAC,1610612762,UTA,12.3,1,-6.300000000000001
F,28,0022300074,2023-10-25,1610612746,LAC,1610612757,POR,28.0,1,0.0
F,29,0022300085,2023-10-27,1610612746,LAC,1610612762,UTA,28.55,1,0.4499999999999993
G,69,0022300074,2023-10-25,1610612746,LAC,1610612757,POR,69.0,1,0.0
G,80,0022300085,2023-10-27,1610612746,LAC,1610612762,UTA,75.05,1,4.950000000000003
C,30,0022300076,2023-10-26,1610612747,LAL,1610612756,PHX,30.0,1,0.0
C,30,0022300076,2023-10-26,1610612747,LAL,1610612756,PHX,30.0,2,0.0
F,21,0022300076,2023-10-26,1610612747,LAL,1610612756,PHX,21.0,1,0.0
F,21,0022300076,2023-10-26,1610612747,LAL,1610612756,PHX,21.0,2,0.0
G,45,0022300076,2023-10-26,1610612747,LAL,1610612756,PHX,45.0,1,0.0
G,45,0022300076,2023-10-26,1610612747,LAL,1610612756,PHX,45.0,2,0.0
C,22,0022300068,2023-10-25,1610612748,MIA,1610612765,DET,22.0,1,0.0
F,32,0022300068,2023-10-25,1610612748,MIA,1610612765,DET,32.0,1,0.0
G,47,0022300068,2023-10-25,1610612748,MIA,1610612765,DET,47.0,1,0.0
C,13,0022300075,2023-10-26,1610612749,MIL,1610612755,PHI,13.0,1,0.0
C,13,0022300075,2023-10-26,1610612749,MIL,1610612755,PHI,13.0,2,0.0
F,29,0022300075,2023-10-26,1610612749,MIL,1610612755,PHI,29.0,1,0.0
F,29,0022300075,2023-10-26,1610612749,MIL,1610612755,PHI,29.0,2,0.0
G,74,0022300075,2023-10-26,1610612749,MIL,1610612755,PHI,74.0,1,0.0
G,74,0022300075,2023-10-26,1610612749,MIL,1610612755,PHI,74.0,2,0.0
C,15,0022300069,2023-10-25,1610612750,MIN,1610612761,TOR,15.0,1,0.0
F,21,0022300069,2023-10-25,1610612750,MIN,1610612761,TOR,21.0,1,0.0
G,58,0022300069,2023-10-25,1610612750,MIN,1610612761,TOR,58.0,1,0.0
C,7,0022300067,2023-10-25,1610612751,BKN,1610612739,CLE,7.0,1,0.0
C,12,0022300084,2023-10-27,1610612751,BKN,1610612742,DAL,9.75,1,2.25
C,12,0022300084,2023-10-27,1610612751,BKN,1610612742,DAL,10.654485049833887,2,1.3455149501661126
F,32,0022300067,2023-10-25,1610612751,BKN,1610612739,CLE,32.0,1,0.0
F,48,0022300084,2023-10-27,1610612751,BKN,1610612742,DAL,40.800000000000004,1,7.199999999999996
F,48,0022300084,2023-10-27,1610612751,BKN,1610612742,DAL,43.69435215946844,2,4.305647840531563
