GAME_ID,TEAM_ABBREVIATION,POSITION_GROUP,PTS,ROLLING_AVG_PTS,PTS_DIFF,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF
22300001,CLE,C,10,10.564694809905689,-0.5646948099056885,,,,,,
22300001,CLE,C,10,10.41802406218753,-0.4180240621875306,,,,,,
22300001,CLE,F,24,13.023744632458188,10.976255367541812,,,,,,
22300001,CLE,F,24,15.874657291229882,8.125342708770118,,,,,,
22300001,CLE,G,82,74.01662712495835,7.983372875041653,,,,,,
22300001,CLE,G,82,76.09018482082381,5.909815179176192,,,,,,
22300001,IND,C,27,15.637873754152825,11.362126245847175,,,,,,
22300001,IND,C,27,19.38118811881188,7.618811881188119,,,,,,
22300001,IND,F,11,15.784053156148,-4.784053156146179,,,,,,
22300001,IND,F,11,14.207920792079207,-3.207920792079207,,,,,,
22300001,IND,G,83,79.41196013289036,3.588039867109643,,,,,,
22300001,IND,G,83,80.59405940594058,2.405940594059416,,,,,,
22300002,MIL,C,13,9.20841584158416,3.7915841584158407,,,,,,
22300002,MIL,C,13,10.296876531832709,2.7031234681672913,,,,,,
22300002,MIL,F,34,31.291089108910892,2.708910891089108,,,,,,
22300002,MIL,F,34,32.06874375012255,1.9312562498774497,,,,,,
22300002,MIL,G,63,67.74504950495049,-4.745049504950487,,,,,,
22300002,MIL,G,63,66.38287484559126,-3.3828748455912603,,,,,,
22300002,NYK,C,0,4.849316680065097,-4.849316680065097,,,,,,
22300002,NYK,C,0,3.5897816340354156,-3.5897816340354156,,,,,,
22300002,NYK,F,22,23.58114546773593,-1.5811454677359258,,,,,,
22300002,NYK,F,22,23.170467374125085,-1.170467374125085,,,,,,
22300002,NYK,G,83,68.74145604988138,14.258543950118622,,,,,,
22300002,NYK,G,83,72.44489242976488,10.555107570235124,,,,,,
22300003,MIA,C,18,18.02673267326733,-0.0267326732673289,,,,,,
22300003,MIA,C,18,18.01905844983432,-0.0190584498343184,,,,,,
22300003,MIA,F,28,22.89405940594059,5.105940594059408,,,,,,
22300003,MIA,F,28,24.359836081645454,3.6401639183545456,,,,,,
22300003,MIA,G,75,70.07227722772278,4.927722772277221,,,,,,
22300003,MIA,G,75,71.48689241387424,3.5131075861257557,,,,,,
22300003,WAS,C,4,5.794019933554817,-1.794019933554817,,,,,,
22300003,WAS,C,4,5.202970297029703,-1.2029702970297027,,,,,,
22300003,WAS,F,36,42.578073089701,-6.578073089701,,,,,,
22300003,WAS,F,36,40.410891089108915,-4.410891089108915,,,,,,
22300003,WAS,G,51,47.41196013289037,3.5880398671096287,,,,,,
22300003,WAS,G,51,48.5940594059406,2.405940594059402,,,,,,
22300004,BKN,C,21,17.411960132890368,3.5880398671096323,,,,,,
22300004,BKN,C,21,18.5940594059406,2.405940594059402,,,,,,
22300004,BKN,F,37,31.01993355481728,5.980066445182722,,,,,,
22300004,BKN,F,37,32.990099009900995,4.0099009900990055,,,,,,
22300004,BKN,G,51,60.56810631229236,-9.568106312292358,,,,,,
22300004,BKN,G,51,57.415841584158414,-6.415841584158414,,,,,,
22300004,CHI,C,13,17.784053156146182,-4.784053156146182,,,,,,
22300004,CHI,C,13,16.20792079207921,-3.2079207920792108,,,,,,
22300004,CHI,F,27,20.421926910299003,6.578073089700997,,,,,,
22300004,CHI,F,27,22.58910891089109,4.410891089108912,,,,,,
22300004,CHI,G,67,62.8139534883721,4.1860465116279,,,,,,
22300004,CHI,G,67,64.1930693069307,2.8069306930693045,,,,,,
22300005,GSW,F,32,29.00996677740864,2.990033222591361,,,,,,
22300005,GSW,F,32,29.995049504950497,2.0049504950495063,,,,,,
22300005,GSW,G,105,83.4717607973422,21.5282392026578,,,,,,
22300005,GSW,G,105,90.56435643564356,14.43564356435644,,,,,,
22300005,OKC,C,24,21.00996677740864,2.990033222591361,,,,,,
22300005,OKC,C,24,21.995049504950497,2.0049504950495027,,,,,,
22300005,OKC,F,47,35.03986710963456,11.960132890365443,,,,,,
22300005,OKC,F,47,38.98019801980198,8.019801980198018,,,,,,
22300005,OKC,G,65,60.81395348837209,4.186046511627907,,,,,,
22300005,OKC,G,65,62.193069306930695,2.8069306930693045,,,,,,
22300006,DAL,C,4,5.794019933554817,-1.794019933554817,,,,,,
22300006,DAL,C,4,5.202970297029703,-1.2029702970297027,,,,,,
22300006,DAL,F,20,33.15614617940199,-13.156146179401992,,,,,,
22300006,DAL,F,20,28.821782178217823,-8.821782178217823,,,,,,
22300006,DAL,G,90,70.86378737541528,19.136212624584715,,,,,,
22300006,DAL,G,90,77.16831683168317,12.831683168316829,,,,,,
22300006,DEN,C,33,28.215946843853818,4.784053156146182,,,,,,
22300006,DEN,C,33,29.79207920792079,3.2079207920792108,,,,,,
22300006,DEN,F,42,22.26578073089701,19.73421926910299,,,,,,
22300006,DEN,F,42,28.76732673267327,13.232673267326732,,,,,,
22300006,DEN,G,46,47.19601328903655,-1.19601328903655,,,,,,
22300006,DEN,G,46,46.801980198019805,-0.8019801980198054,,,,,,
22300007,MEM,C,30,12.059800664451828,17.940199335548172,,,,,,
22300007,MEM,C,30,17.97029702970297,12.02970297029703,,,,,,
22300007,MEM,F,29,27.803986710963457,1.196013289036543,,,,,,
22300007,MEM,F,29,28.1980198019802,0.8019801980198018,,,,,,
22300007,MEM,G,52,67.54817275747509,-15.548172757475086,,,,,,
22300007,MEM,G,52,62.42574257425743,-10.425742574257429,,,,,,
22300007,POR,C,16,14.917326732673269,1.082673267326733,,,,,,
