POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,ROLLING_AVG_PTS,GAMES_PLAYED,PTS_DIFF
C,12,0022300097,2023-10-29,1610612737,ATL,1610612749,MIL,12.0,1,0.0
C,12,0022300097,2023-10-29,1610612737,ATL,1610612749,MIL,12.0,2,0.0
F,29,0022300097,2023-10-29,1610612737,ATL,1610612749,MIL,29.0,1,0.0
F,29,0022300097,2023-10-29,1610612737,ATL,1610612749,MIL,29.0,2,0.0
G,79,0022300097,2023-10-29,1610612737,ATL,1610612749,MIL,79.0,1,0.0
G,79,0022300097,2023-10-29,1610612737,ATL,1610612749,MIL,79.0,2,0.0
C,33,0022300091,2023-10-28,1610612739,CLE,1610612754,IND,33.0,1,0.0
F,17,0022300091,2023-10-28,1610612739,CLE,1610612754,IND,17.0,1,0.0
G,59,0022300091,2023-10-28,1610612739,CLE,1610612754,IND,59.0,1,0.0
C,8,0022300090,2023-10-28,1610612740,NOP,1610612752,NYK,8.0,1,0.0
C,8,0022300090,2023-10-28,1610612740,NOP,1610612752,NYK,8.0,2,0.0
F,50,0022300090,2023-10-28,1610612740,NOP,1610612752,NYK,50.0,1,0.0
F,50,0022300090,2023-10-28,1610612740,NOP,1610612752,NYK,50.0,2,0.0
G,36,0022300090,2023-10-28,1610612740,NOP,1610612752,NYK,36.0,1,0.0
G,36,0022300090,2023-10-28,1610612740,NOP,1610612752,NYK,36.0,2,0.0
C,12,0022300088,2023-10-28,1610612741,CHI,1610612765,DET,12.0,1,0.0
C,12,0022300088,2023-10-28,1610612741,CHI,1610612765,DET,12.0,2,0.0
F,20,0022300088,2023-10-28,1610612741,CHI,1610612765,DET,20.0,1,0.0
F,20,0022300088,2023-10-28,1610612741,CHI,1610612765,DET,20.0,2,0.0
G,67,0022300088,2023-10-28,1610612741,CHI,1610612765,DET,67.0,1,0.0
G,67,0022300088,2023-10-28,1610612741,CHI,1610612765,DET,67.0,2,0.0
C,28,0022300095,2023-10-29,1610612743,DEN,1610612760,OKC,28.0,1,0.0
C,28,0022300095,2023-10-29,1610612743,DEN,1610612760,OKC,28.0,2,0.0
F,29,0022300095,2023-10-29,1610612743,DEN,1610612760,OKC,29.0,1,0.0
F,29,0022300095,2023-10-29,1610612743,DEN,1610612760,OKC,29.0,2,0.0
G,61,0022300095,2023-10-29,1610612743,DEN,1610612760,OKC,61.0,1,0.0
G,61,0022300095,2023-10-29,1610612743,DEN,1610612760,OKC,61.0,2,0.0
C,5,0022300096,2023-10-29,1610612744,GSW,1610612745,HOU,5.0,1,0.0
C,5,0022300096,2023-10-29,1610612744,GSW,1610612745,HOU,5.0,2,0.0
F,17,0022300096,2023-10-29,1610612744,GSW,1610612745,HOU,17.0,1,0.0
F,17,0022300096,2023-10-29,1610612744,GSW,1610612745,HOU,17.0,2,0.0
G,84,0022300096,2023-10-29,1610612744,GSW,1610612745,HOU,84.0,1,0.0
G,84,0022300096,2023-10-29,1610612744,GSW,1610612745,HOU,84.0,2,0.0
C,19,0022300096,2023-10-29,1610612745,HOU,1610612744,GSW,19.0,1,0.0
C,19,0022300096,2023-10-29,1610612745,HOU,1610612744,GSW,19.0,2,0.0
F,26,0022300096,2023-10-29,1610612745,HOU,1610612744,GSW,26.0,1,0.0
F,26,0022300096,2023-10-29,1610612745,HOU,1610612744,GSW,26.0,2,0.0
G,50,0022300096,2023-10-29,1610612745,HOU,1610612744,GSW,50.0,1,0.0
G,50,0022300096,2023-10-29,1610612745,HOU,1610612744,GSW,50.0,2,0.0
C,16,0022300099,2023-10-29,1610612746,LAC,1610612759,SAS,16.0,1,0.0
C,16,0022300099,2023-10-29,1610612746,LAC,1610612759,SAS,16.0,2,0.0
F,21,0022300099,2023-10-29,1610612746,LAC,1610612759,SAS,21.0,1,0.0
F,21,0022300099,2023-10-29,1610612746,LAC,1610612759,SAS,21.0,2,0.0
G,83,0022300099,2023-10-29,1610612746,LAC,1610612759,SAS,83.0,1,0.0
G,83,0022300099,2023-10-29,1610612746,LAC,1610612759,SAS,83.0,2,0.0
C,30,0022300100,2023-10-29,1610612747,LAL,1610612758,SAC,30.0,1,0.0
C,30,0022300100,2023-10-29,1610612747,LAL,1610612758,SAC,30.0,2,0.0
F,47,0022300100,2023-10-29,1610612747,LAL,1610612758,SAC,47.0,1,0.0
F,47,0022300100,2023-10-29,1610612747,LAL,1610612758,SAC,47.0,2,0.0
G,46,0022300100,2023-10-29,1610612747,LAL,1610612758,SAC,46.0,1,0.0
G,46,0022300100,2023-10-29,1610612747,LAL,1610612758,SAC,46.0,2,0.0
C,13,0022300097,2023-10-29,1610612749,MIL,1610612737,ATL,13.0,1,0.0
C,13,0022300097,2023-10-29,1610612749,MIL,1610612737,ATL,13.0,2,0.0
F,28,0022300097,2023-10-29,1610612749,MIL,1610612737,ATL,28.0,1,0.0
F,28,0022300097,2023-10-29,1610612749,MIL,1610612737,ATL,28.0,2,0.0
G,55,0022300097,2023-10-29,1610612749,MIL,1610612737,ATL,55.0,1,0.0
G,55,0022300097,2023-10-29,1610612749,MIL,1610612737,ATL,55.0,2,0.0
C,8,0022300090,2023-10-28,1610612752,NYK,1610612740,NOP,8.0,1,0.0
C,8,0022300090,2023-10-28,1610612752,NYK,1610612740,NOP,8.0,2,0.0
F,28,0022300090,2023-10-28,1610612752,NYK,1610612740,NOP,28.0,1,0.0
F,28,0022300090,2023-10-28,1610612752,NYK,1610612740,NOP,28.0,2,0.0
G,41,0022300090,2023-10-28,1610612752,NYK,1610612740,NOP,41.0,1,0.0
G,41,0022300090,2023-10-28,1610612752,NYK,1610612740,NOP,41.0,2,0.0
C,20,0022300091,2023-10-28,1610612754,IND,1610612739,CLE,20.0,1,0.0
F,17,0022300091,2023-10-28,1610612754,IND,1610612739,CLE,17.0,1,0.0
G,88,0022300091,2023-10-28,1610612754,IND,1610612739,CLE,88.0,1,0.0
C,34,0022300092,2023-10-28,1610612755,PHI,1610612761,TOR,34.0,1,0.0
C,34,0022300092,2023-10-28,1610612755,PHI,1610612761,TOR,34.0,2,0.0
C,35,0022300098,2023-10-29,1610612755,PHI,1610612757,POR,34.40199335548173,1,0.5980066445182715
C,35,0022300098,2023-10-29,1610612755,PHI,1610612757,POR,34.5990099009901,2,0.4009900990099027
F,18,0022300092,2023-10-28,1610612755,PHI,1610612761,TOR,18.0,1,0.0
F,18,0022300092,2023-10-28,1610612755,PHI,1610612761,TOR,18.0,2,0.0
F,27,0022300098,2023-10-29,1610612755,PHI,1610612757,POR,21.61794019933555,1,5.38205980066445
F,27,0022300098,2023-10-29,1610612755,PHI,1610612757,POR,23.39108910891089,2,3.60891089108911
G,60,0022300092,2023-10-28,1610612755,PHI,1610612761,TOR,60.0,1,0.0
G,60,0022300092,2023-10-28,1610612755,PHI,1610612761,TOR,60.0,2,0.0
G,56,0022300098,2023-10-29,1610612755,PHI,1610612757,POR,58.39202657807309,1,-2.392026578073093
G,56,0022300098,2023-10-29,1610612755,PHI,1610612757,POR,57.603960396039604,2,-1.6039603960396036
C,7,0022300098,2023-10-29,1610612757,POR,1610612755,PHI,7.0,1,0.0
C,7,0022300098,2023-10-29,1610612757,POR,1610612755,PHI,7.0,2,0.0
F,17,0022300098,2023-10-29,1610612757,POR,1610612755,PHI,17.0,1,0.0
F,17,0022300098,2023-10-29,1610612757,POR,1610612755,PHI,17.0,2,0.0
G,72,0022300098,2023-10-29,1610612757,POR,1610612755,PHI,72.0,1,0.0
G,72,0022300098,2023-10-29,1610612757,POR,1610612755,PHI,72.0,2,0.0
C,12,0022300100,2023-10-29,1610612758,SAC,1610612747,LAL,12.0,1,0.0
C,12,0022300100,2023-10-29,1610612758,SAC,1610612747,LAL,12.0,2,0.0
F,25,0022300100,2023-10-29,1610612758,SAC,1610612747,LAL,25.0,1,0.0
F,25,0022300100,2023-10-29,1610612758,SAC,1610612747,LAL,25.0,2,0.0
G,95,0022300100,2023-10-29,1610612758,SAC,1610612747,LAL,95.0,1,0.0
G,95,0022300100,2023-10-29,1610612758,SAC,1610612747,LAL,95.0,2,0.0
C,9,0022300099,2023-10-29,1610612759,SAS,1610612746,LAC,9.0,1,0.0
C,9,0022300099,2023-10-29,1610612759,SAS,1610612746,LAC,9.0,2,0.0
F,16,0022300099,2023-10-29,1610612759,SAS,1610612746,LAC,16.0,1,0.0
F,16,0022300099,2023-10-29,1610612759,SAS,1610612746,LAC,16.0,2,0.0
G,54,0022300099,2023-10-29,1610612759,SAS,1610612746,LAC,54.0,1,0.0
G,54,0022300099,2023-10-29,1610612759,SAS,1610612746,LAC,54.0,2,0.0
C,19,0022300095,2023-10-29,1610612760,OKC,1610612743,DEN,19.0,1,0.0
C,19,0022300095,2023-10-29,1610612760,OKC,1610612743,DEN,19.0,2,0.0
F,23,0022300095,2023-10-29,1610612760,OKC,1610612743,DEN,23.0,1,0.0
F,23,0022300095,2023-10-29,1610612760,OKC,1610612743,DEN,23.0,2,0.0
G,36,0022300095,2023-10-29,1610612760,OKC,1610612743,DEN,36.0,1,0.0
G,36,0022300095,2023-10-29,1610612760,OKC,1610612743,DEN,36.0,2,0.0
C,6,0022300092,2023-10-28,1610612761,TOR,1610612755,PHI,6.0,1,0.0
C,6,0022300092,2023-10-28,1610612761,TOR,1610612755,PHI,6.0,2,0.0
F,35,0022300092,2023-10-28,1610612761,TOR,1610612755,PHI,35.0,1,0.0
F,35,0022300092,2023-10-28,1610612761,TOR,1610612755,PHI,35.0,2,0.0
G,61,0022300092,2023-10-28,1610612761,TOR,1610612755,PHI,61.0,1,0.0
G,61,0022300092,2023-10-28,1610612761,TOR,1610612755,PHI,61.0,2,0.0
C,8,0022300089,2023-10-28,1610612763,MEM,1610612764,WAS,8.0,1,0.0
F,32,0022300089,2023-10-28,1610612763,MEM,1610612764,WAS,32.0,1,0.0
G,66,0022300089,2023-10-28,1610612763,MEM,1610612764,WAS,66.0,1,0.0
C,10,0022300089,2023-10-28,1610612764,WAS,1610612763,MEM,10.0,1,0.0
F,31,0022300089,2023-10-28,1610612764,WAS,1610612763,MEM,31.0,1,0.0
G,65,0022300089,2023-10-28,1610612764,WAS,1610612763,MEM,65.0,1,0.0
C,23,0022300088,2023-10-28,1610612765,DET,1610612741,CHI,23.0,1,0.0
C,23,0022300088,2023-10-28,1610612765,DET,1610612741,CHI,23.0,2,0.0
F,23,0022300088,2023-10-28,1610612765,DET,1610612741,CHI,23.0,1,0.0
F,23,0022300088,2023-10-28,1610612765,DET,1610612741,CHI,23.0,2,0.0
G,67,0022300088,2023-10-28,1610612765,DET,1610612741,CHI,67.0,1,0.0
G,67,0022300088,2023-10-28,1610612765,DET,1610612741,CHI,67.0,2,0.0
