POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,9,0022300835,2024-02-27,1610612737,ATL,1610612762,UTA,9.0,38.0,77.0,9.0,0.0,38.0,0.0,77.0,0.0,1,9.0,0.0
F,38,0022300835,2024-02-27,1610612737,ATL,1610612762,UTA,9.0,38.0,77.0,9.0,0.0,38.0,0.0,77.0,0.0,1,38.0,0.0
G,77,0022300835,2024-02-27,1610612737,ATL,1610612762,UTA,9.0,38.0,77.0,9.0,0.0,38.0,0.0,77.0,0.0,1,77.0,0.0
C,7,0022300851,2024-02-29,1610612737,ATL,1610612751,BKN,7.0,20.0,70.0,7.9,-0.9000000000000004,28.099999999999998,-8.099999999999998,73.15,-3.1500000000000057,2,7.9,-0.9000000000000004
F,20,0022300851,2024-02-29,1610612737,ATL,1610612751,BKN,7.0,20.0,70.0,7.9,-0.9000000000000004,28.099999999999998,-8.099999999999998,73.15,-3.1500000000000057,2,28.099999999999998,-8.099999999999998
G,70,0022300851,2024-02-29,1610612737,ATL,1610612751,BKN,7.0,20.0,70.0,7.9,-0.9000000000000004,28.099999999999998,-8.099999999999998,73.15,-3.1500000000000057,2,73.15,-3.1500000000000057
C,7,0022300851,2024-02-29,1610612737,ATL,1610612751,BKN,7.0,20.0,70.0,7.9,-0.9000000000000004,28.099999999999998,-8.099999999999998,73.15,-3.1500000000000057,3,7.9,-0.9000000000000004
F,20,0022300851,2024-02-29,1610612737,ATL,1610612751,BKN,7.0,20.0,70.0,7.9,-0.9000000000000004,28.099999999999998,-8.099999999999998,73.15,-3.1500000000000057,3,28.099999999999998,-8.099999999999998
G,70,0022300851,2024-02-29,1610612737,ATL,1610612751,BKN,7.0,20.0,70.0,7.9,-0.9000000000000004,28.099999999999998,-8.099999999999998,73.15,-3.1500000000000057,3,73.15,-3.1500000000000057
C,11,0022300866,2024-03-02,1610612737,ATL,1610612751,BKN,11.0,30.0,61.0,9.146179401993356,1.853820598006644,28.86378737541528,1.1362126245847186,68.265780730897,-7.265780730897006,4,9.146179401993356,1.853820598006644
F,30,0022300866,2024-03-02,1610612737,ATL,1610612751,BKN,11.0,30.0,61.0,9.146179401993356,1.853820598006644,28.86378737541528,1.1362126245847186,68.265780730897,-7.265780730897006,4,28.86378737541528,1.1362126245847186
G,61,0022300866,2024-03-02,1610612737,ATL,1610612751,BKN,11.0,30.0,61.0,9.146179401993356,1.853820598006644,28.86378737541528,1.1362126245847186,68.265780730897,-7.265780730897006,4,68.265780730897,-7.265780730897006
C,11,0022300866,2024-03-02,1610612737,ATL,1610612751,BKN,11.0,30.0,61.0,9.146179401993356,1.853820598006644,28.86378737541528,1.1362126245847186,68.265780730897,-7.265780730897006,5,9.146179401993356,1.853820598006644
F,30,0022300866,2024-03-02,1610612737,ATL,1610612751,BKN,11.0,30.0,61.0,9.146179401993356,1.853820598006644,28.86378737541528,1.1362126245847186,68.265780730897,-7.265780730897006,5,28.86378737541528,1.1362126245847186
G,61,0022300866,2024-03-02,1610612737,ATL,1610612751,BKN,11.0,30.0,61.0,9.146179401993356,1.853820598006644,28.86378737541528,1.1362126245847186,68.265780730897,-7.265780730897006,5,68.265780730897,-7.265780730897006
C,13,0022300889,2024-03-05,1610612737,ATL,1610612752,NYK,13.0,43.0,55.0,10.415841584158416,2.584158415841584,33.521039603960396,9.478960396039604,63.89529702970297,-8.895297029702967,6,10.415841584158416,2.584158415841584
F,43,0022300889,2024-03-05,1610612737,ATL,1610612752,NYK,13.0,43.0,55.0,10.415841584158416,2.584158415841584,33.521039603960396,9.478960396039604,63.89529702970297,-8.895297029702967,6,33.521039603960396,9.478960396039604
G,55,0022300889,2024-03-05,1610612737,ATL,1610612752,NYK,13.0,43.0,55.0,10.415841584158416,2.584158415841584,33.521039603960396,9.478960396039604,63.89529702970297,-8.895297029702967,6,63.89529702970297,-8.895297029702967
C,13,0022300889,2024-03-05,1610612737,ATL,1610612752,NYK,13.0,43.0,55.0,10.415841584158416,2.584158415841584,33.521039603960396,9.478960396039604,63.89529702970297,-8.895297029702967,7,10.415841584158416,2.584158415841584
F,43,0022300889,2024-03-05,1610612737,ATL,1610612752,NYK,13.0,43.0,55.0,10.415841584158416,2.584158415841584,33.521039603960396,9.478960396039604,63.89529702970297,-8.895297029702967,7,33.521039603960396,9.478960396039604
G,55,0022300889,2024-03-05,1610612737,ATL,1610612752,NYK,13.0,43.0,55.0,10.415841584158416,2.584158415841584,33.521039603960396,9.478960396039604,63.89529702970297,-8.895297029702967,7,63.89529702970297,-8.895297029702967
C,8,0022300895,2024-03-06,1610612737,ATL,1610612739,CLE,8.0,30.0,74.0,9.72231917021235,-1.7223191702123497,32.51024489715888,-2.510244897158877,66.79608242975627,7.203917570243732,8,9.72231917021235,-1.7223191702123497
F,30,0022300895,2024-03-06,1610612737,ATL,1610612739,CLE,8.0,30.0,74.0,9.72231917021235,-1.7223191702123497,32.51024489715888,-2.510244897158877,66.79608242975627,7.203917570243732,8,32.51024489715888,-2.510244897158877
G,74,0022300895,2024-03-06,1610612737,ATL,1610612739,CLE,8.0,30.0,74.0,9.72231917021235,-1.7223191702123497,32.51024489715888,-2.510244897158877,66.79608242975627,7.203917570243732,8,66.79608242975627,7.203917570243732
C,8,0022300895,2024-03-06,1610612737,ATL,1610612739,CLE,8.0,30.0,74.0,9.72231917021235,-1.7223191702123497,32.51024489715888,-2.510244897158877,66.79608242975627,7.203917570243732,9,9.72231917021235,-1.7223191702123497
F,30,0022300895,2024-03-06,1610612737,ATL,1610612739,CLE,8.0,30.0,74.0,9.72231917021235,-1.7223191702123497,32.51024489715888,-2.510244897158877,66.79608242975627,7.203917570243732,9,32.51024489715888,-2.510244897158877
G,74,0022300895,2024-03-06,1610612737,ATL,1610612739,CLE,8.0,30.0,74.0,9.72231917021235,-1.7223191702123497,32.51024489715888,-2.510244897158877,66.79608242975627,7.203917570243732,9,66.79608242975627,7.203917570243732
C,15,0022300913,2024-03-08,1610612737,ATL,1610612763,MEM,15.0,6.0,76.0,11.093115182401704,3.9068848175982964,25.624618585298197,-19.624618585298197,69.18665774279908,6.813342257200915,10,11.093115182401704,3.9068848175982964
F,6,0022300913,2024-03-08,1610612737,ATL,1610612763,MEM,15.0,6.0,76.0,11.093115182401704,3.9068848175982964,25.624618585298197,-19.624618585298197,69.18665774279908,6.813342257200915,10,25.624618585298197,-19.624618585298197
G,76,0022300913,2024-03-08,1610612737,ATL,1610612763,MEM,15.0,6.0,76.0,11.093115182401704,3.9068848175982964,25.624618585298197,-19.624618585298197,69.18665774279908,6.813342257200915,10,69.18665774279908,6.813342257200915
C,15,0022300913,2024-03-08,1610612737,ATL,1610612763,MEM,15.0,6.0,76.0,11.093115182401704,3.9068848175982964,25.624618585298197,-19.624618585298197,69.18665774279908,6.813342257200915,11,11.093115182401704,3.9068848175982964
F,6,0022300913,2024-03-08,1610612737,ATL,1610612763,MEM,15.0,6.0,76.0,11.093115182401704,3.9068848175982964,25.624618585298197,-19.624618585298197,69.18665774279908,6.813342257200915,11,25.624618585298197,-19.624618585298197
G,76,0022300913,2024-03-08,1610612737,ATL,1610612763,MEM,15.0,6.0,76.0,11.093115182401704,3.9068848175982964,25.624618585298197,-19.624618585298197,69.18665774279908,6.813342257200915,11,69.18665774279908,6.813342257200915
C,24,0022300859,2024-03-01,1610612738,BOS,1610612742,DAL,24.0,57.0,52.0,24.0,0.0,57.0,0.0,52.0,0.0,1,24.0,0.0
F,57,0022300859,2024-03-01,1610612738,BOS,1610612742,DAL,24.0,57.0,52.0,24.0,0.0,57.0,0.0,52.0,0.0,1,57.0,0.0
G,52,0022300859,2024-03-01,1610612738,BOS,1610612742,DAL,24.0,57.0,52.0,24.0,0.0,57.0,0.0,52.0,0.0,1,52.0,0.0
C,24,0022300859,2024-03-01,1610612738,BOS,1610612742,DAL,24.0,57.0,52.0,24.0,0.0,57.0,0.0,52.0,0.0,2,24.0,0.0
F,57,0022300859,2024-03-01,1610612738,BOS,1610612742,DAL,24.0,57.0,52.0,24.0,0.0,57.0,0.0,52.0,0.0,2,57.0,0.0
G,52,0022300859,2024-03-01,1610612738,BOS,1610612742,DAL,24.0,57.0,52.0,24.0,0.0,57.0,0.0,52.0,0.0,2,52.0,0.0
C,7,0022300872,2024-03-03,1610612738,BOS,1610612744,GSW,7.0,56.0,75.0,14.649999999999999,-7.649999999999999,56.449999999999996,-0.44999999999999574,64.65,10.349999999999994,3,14.649999999999999,-7.649999999999999
F,56,0022300872,2024-03-03,1610612738,BOS,1610612744,GSW,7.0,56.0,75.0,14.649999999999999,-7.649999999999999,56.449999999999996,-0.44999999999999574,64.65,10.349999999999994,3,56.449999999999996,-0.44999999999999574
G,75,0022300872,2024-03-03,1610612738,BOS,1610612744,GSW,7.0,56.0,75.0,14.649999999999999,-7.649999999999999,56.449999999999996,-0.44999999999999574,64.65,10.349999999999994,3,64.65,10.349999999999994
C,7,0022300872,2024-03-03,1610612738,BOS,1610612744,GSW,7.0,56.0,75.0,14.649999999999999,-7.649999999999999,56.449999999999996,-0.44999999999999574,64.65,10.349999999999994,4,14.649999999999999,-7.649999999999999
F,56,0022300872,2024-03-03,1610612738,BOS,1610612744,GSW,7.0,56.0,75.0,14.649999999999999,-7.649999999999999,56.449999999999996,-0.44999999999999574,64.65,10.349999999999994,4,56.449999999999996,-0.44999999999999574
G,75,0022300872,2024-03-03,1610612738,BOS,1610612744,GSW,7.0,56.0,75.0,14.649999999999999,-7.649999999999999,56.449999999999996,-0.44999999999999574,64.65,10.349999999999994,4,64.65,10.349999999999994
C,24,0022300886,2024-03-05,1610612738,BOS,1610612739,CLE,24.0,47.0,33.0,18.408637873754152,5.591362126245848,52.65116279069767,-5.6511627906976685,51.92691029900333,-18.92691029900333,5,18.408637873754152,5.591362126245848
