Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,ORL,19.1,44.1,74.9,2.5,7.5,3.8,1.6,0.6,2.5
,BOS,20.2,43.1,76.1,2.7,7.8,3.7,1.3,0.7,1.9
,MIN,20.2,43.1,76.8,2.8,7.6,3.7,1.7,0.7,2.4
,MIA,20.7,44.6,77.9,2.9,7.5,3.9,1.4,0.8,2.1
,OKC,21.7,43.0,79.6,3.1,7.9,3.8,1.5,0.8,3.1
