Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,UTA,26.2,46.4,78.6,4.1,6.7,6.1,2.0,0.8,2.1
,CHI,25.8,45.0,84.1,3.8,6.6,5.6,1.7,0.8,2.5
,WAS,24.4,44.3,82.9,3.8,7.2,5.6,1.9,0.7,2.8
,PHO,24.1,46.4,82.6,3.7,6.7,5.8,1.9,0.5,2.3
,TOR,23.4,44.4,81.3,3.1,6.7,5.1,2.1,0.8,2.7
