Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,GS,21.7,43.8,81.4,2.6,6.1,7.5,1.7,0.8,3.4
,OKC,22.7,43.4,81.8,3.1,6.1,7.5,1.4,0.5,3.6
,MIN,23.1,43.5,81.2,2.8,6.2,7.7,2.0,0.5,3.3
,BOS,23.3,44.6,83.0,2.9,5.7,7.3,1.7,0.4,3.2
,ORL,24.1,44.8,82.4,2.7,5.6,7.4,1.7,0.4,4.0
