Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,OKC,21.7,39.6,82.1,3.0,7.3,5.1,1.4,0.8,3.5
,ORL,21.9,44.7,80.0,2.8,6.9,4.5,1.5,0.5,3.0
,BOS,21.9,43.7,80.6,3.2,7.1,4.9,1.5,0.5,2.3
,HOU,22.3,43.0,78.5,3.0,6.5,4.7,1.5,0.5,2.7
,DET,23.0,42.8,80.9,3.6,6.3,4.2,1.6,0.6,2.8
