POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,11,0022300754,2024-02-10,1610612737,ATL,1610612745,HOU,11.0,45.0,63.0,11.0,0.0,45.0,0.0,63.0,0.0,1,11.0,0.0
F,45,0022300754,2024-02-10,1610612737,ATL,1610612745,HOU,11.0,45.0,63.0,11.0,0.0,45.0,0.0,63.0,0.0,1,45.0,0.0
G,63,0022300754,2024-02-10,1610612737,ATL,1610612745,HOU,11.0,45.0,63.0,11.0,0.0,45.0,0.0,63.0,0.0,1,63.0,0.0
C,11,0022300763,2024-02-12,1610612737,ATL,1610612741,CHI,11.0,24.0,87.0,11.0,0.0,33.449999999999996,-9.449999999999996,76.19999999999999,10.800000000000011,2,11.0,0.0
F,24,0022300763,2024-02-12,1610612737,ATL,1610612741,CHI,11.0,24.0,87.0,11.0,0.0,33.449999999999996,-9.449999999999996,76.19999999999999,10.800000000000011,2,33.449999999999996,-9.449999999999996
G,87,0022300763,2024-02-12,1610612737,ATL,1610612741,CHI,11.0,24.0,87.0,11.0,0.0,33.449999999999996,-9.449999999999996,76.19999999999999,10.800000000000011,2,76.19999999999999,10.800000000000011
C,11,0022300763,2024-02-12,1610612737,ATL,1610612741,CHI,11.0,24.0,87.0,11.0,0.0,33.449999999999996,-9.449999999999996,76.19999999999999,10.800000000000011,3,11.0,0.0
F,24,0022300763,2024-02-12,1610612737,ATL,1610612741,CHI,11.0,24.0,87.0,11.0,0.0,33.449999999999996,-9.449999999999996,76.19999999999999,10.800000000000011,3,33.449999999999996,-9.449999999999996
G,87,0022300763,2024-02-12,1610612737,ATL,1610612741,CHI,11.0,24.0,87.0,11.0,0.0,33.449999999999996,-9.449999999999996,76.19999999999999,10.800000000000011,3,76.19999999999999,10.800000000000011
C,6,0022300777,2024-02-14,1610612737,ATL,1610612766,CHA,6.0,33.0,58.0,8.990033222591363,-2.9900332225913626,33.269102990033225,-0.26910299003322535,68.88372093023254,-10.883720930232542,4,8.990033222591363,-2.9900332225913626
