SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,PLAYER_NAME,OPPONENT_TEAM_ABBREVIATION,PLAYER_PTS_EMA_5,PLAYER_PTS_EMA_10,PLAYER_PTS_EMA_20,PLAYER_REB_EMA_5,PLAYER_REB_EMA_10,PLAYER_REB_EMA_20,PLAYER_AST_EMA_5,PLAYER_AST_EMA_10,PLAYER_AST_EMA_20,PLAYER_STL_EMA_5,PLAYER_STL_EMA_10,PLAYER_STL_EMA_20,PLAYER_BLK_EMA_5,PLAYER_BLK_EMA_10,PLAYER_BLK_EMA_20,PLAYER_TOV_EMA_5,PLAYER_TOV_EMA_10,PLAYER_TOV_EMA_20,PLAYER_FGA_EMA_5,PLAYER_FGA_EMA_10,PLAYER_FGA_EMA_20,PLAYER_FGM_EMA_5,PLAYER_FGM_EMA_10,PLAYER_FGM_EMA_20,PLAYER_FG3A_EMA_5,PLAYER_FG3A_EMA_10,PLAYER_FG3A_EMA_20,PLAYER_FG3M_EMA_5,PLAYER_FG3M_EMA_10,PLAYER_FG3M_EMA_20,PLAYER_FTA_EMA_5,PLAYER_FTA_EMA_10,PLAYER_FTA_EMA_20,PLAYER_FTM_EMA_5,PLAYER_FTM_EMA_10,PLAYER_FTM_EMA_20,PLAYER_MIN_EMA_5,PLAYER_MIN_EMA_10,PLAYER_MIN_EMA_20,DEF_OPP_PTS_EMA_5,DEF_OPP_PTS_EMA_10,DEF_OPP_PTS_EMA_20,DEF_OPP_FG_PCT_EMA_5,DEF_OPP_FG_PCT_EMA_10,DEF_OPP_FG_PCT_EMA_20,DEF_OPP_FG3_PCT_EMA_5,DEF_OPP_FG3_PCT_EMA_10,DEF_OPP_FG3_PCT_EMA_20,DEF_OPP_REB_EMA_5,DEF_OPP_REB_EMA_10,DEF_OPP_REB_EMA_20,DEF_OPP_AST_EMA_5,DEF_OPP_AST_EMA_10,DEF_OPP_AST_EMA_20,DEF_OPP_TOV_EMA_5,DEF_OPP_TOV_EMA_10,DEF_OPP_TOV_EMA_20
22023,1628389,0022300867,2024-03-02,MIA vs. UTA,W,34,10,15,0.667,0,0,0.0,3,4,0.75,2,5,7,3,0,0,0,2,23,2,1,1628389,Bam Adebayo,UTA,20.57687233666615,19.953736854328323,19.41812075874804,9.123927727833578,9.720334054020306,10.181998313119925,3.59898563592043,3.8485165339713845,3.9819723474015203,1.0582176993912988,1.1409678306499293,1.0950751671636096,0.7578508664363011,0.8742210037336604,0.940376360857078,3.143327848975489,2.9737738663243944,2.7130140672836043,15.235517912189094,14.798297858159517,14.548163113249231,8.090486887396779,8.044297381523863,7.779328982976855,0.1497002349176218,0.1491384836840881,0.17723406091030378,8.932121169201651e-09,3.252218789476567e-05,0.0012876145286211482,5.692208818071371,5.03739841990437,5.020210531746616,4.395898552940473,3.865109569092702,3.85817517826571,35.20764238452111,34.72347284405227,34.579481575934466,118.65288704525211,114.70839274629101,112.65834595821501,0.47818573645701024,0.47319634624539936,0.47300216874198875,0.36043671272062694,0.3488905256651347,0.3490449403827403,45.40943843547957,44.404860111000254,44.128574725439606,26.150237527978437,25.14837019823317,24.327777644060962,11.869360857852481,12.942542364428517,14.308675952087663
22023,1628389,0022300888,2024-03-05,MIA vs. DET,W,35,8,17,0.471,0,0,0.0,2,3,0.667,2,5,7,1,1,1,1,2,18,8,1,1628389,Bam Adebayo,DET,21.384581557777434,20.50760288081408,19.75925211505775,8.415951818555719,9.22572786238025,9.87895085472755,3.399323757280287,3.6942408005220417,3.8884511714585184,0.705478466260866,0.9335191341681239,0.9907822941004087,0.5052339109575341,0.7152717303275403,0.8508167074421182,2.095551899316993,2.433087708810868,2.4546317751613564,15.157011941459396,14.834970974857786,14.591195197701685,8.726991258264519,8.399879675792251,7.990821460788583,0.09980015661174788,0.12202239574152662,0.1603546265378939,5.954747446134434e-09,2.660906282299009e-05,0.0011649845735143723,5.12813921204758,4.848780525376303,4.923047623961224,3.930599035293649,3.707816920166756,3.776444208907071,34.805094923014074,34.591932326951856,34.5242928544169,114.2967326180831,109.2966254255232,104.94236458246674,0.4763574037355573,0.4594546352688548,0.4438051599360052,0.34189492034899127,0.32457229814309985,0.3104133843895903,51.277585164922286,48.88181340467431,45.805790349724276,25.261350286165865,24.453824729864476,22.945718929654376,18.28608005866779,16.740271901729262,15.486467580416232
22023,1628389,0022300904,2024-03-07,MIA @ DAL,L,37,5,14,0.357,0,2,0.0,4,8,0.5,1,8,9,5,3,0,1,1,14,-5,1,1628389,Bam Adebayo,DAL,20.256387705184956,20.051675084302428,19.591704294576058,7.943967879037146,8.821050069220204,9.604765059039213,2.5995491715201915,3.2043788367907613,3.6133605837005645,0.8036523108405773,0.9456065643193741,0.9916601708527508,0.6701559406383562,0.7670405066316238,0.8650246400666785,1.7303679328779953,2.172526307208892,2.3160954156221796,15.771341294306264,15.228612615792732,14.820605178872952,8.484660838843013,8.32717428019366,7.991695607380146,0.06653343774116525,0.0998365056067036,0.14508275734380877,3.96983163075629e-09,2.1771051400628256e-05,0.0010540336617510988,4.418759474698387,4.5126386116715205,4.739900231203013,3.2870660235290994,3.3973047528637093,3.6072590461540166,34.87006328200938,34.666126449324246,34.569598296853385,125.64161391061587,120.11906286053018,113.3823306962453,0.5289036882145901,0.5082751124515122,0.4748762177223714,0.33127241417012415,0.33636932878178627,0.3259504433578503,42.74449558603495,44.07083818066307,44.268340440617465,29.37319939472794,28.55347581306531,26.757142005402386,12.315399121805354,12.31315427771168,12.654787060642432
22023,1628389,0022300914,2024-03-08,MIA @ OKC,L,31,1,9,0.111,0,0,0.0,3,4,0.75,4,6,10,4,1,2,4,1,5,-18,1,1628389,Bam Adebayo,OKC,18.170925136789972,18.95137052352017,19.059161028425958,8.295978586024765,8.853586420271077,9.547168386749764,3.3996994476801277,3.5308554119197137,3.745421480490987,1.5357682072270515,1.3191326435340331,1.1829306307715364,0.44677062709223747,0.6275785963349649,0.7826413410127091,1.486911955251997,1.9593397058981843,2.1907529950867337,15.180894196204177,15.005228503830416,14.742452304694575,7.323107225895343,7.72223350197663,7.7067722162010845,0.7110222918274435,0.4453207773145757,0.32174154235868413,2.646554420504194e-09,1.7812678418695846e-05,0.0009536495034890894,5.612506316465591,5.146704318640334,5.050385923469393,3.524710682352733,3.506885706888489,3.6446629465203007,35.58004218800626,35.090467094901655,34.80106512572449,119.27539799785862,118.4989564781716,120.19989970991259,0.4960090938220876,0.4947231214382548,0.5024147603214907,0.3942075517461856,0.3802640149785706,0.37944136895400266,44.55291180534337,44.06390089574545,45.5941060312421,29.285336026716962,28.41657875713001,29.428364609072883,11.47783742020934,12.082651921728367,12.664696458100408
22023,1628389,0022300926,2024-03-10,MIA vs. WAS,L,35,7,14,0.5,0,0,0.0,2,6,0.333,7,9,16,2,2,1,0,3,16,-9,1,1628389,Bam Adebayo,WAS,13.780616757859983,16.414757701061955,17.72019331143301,8.86398572401651,9.062025252949063,9.59029520705931,3.5997996317867518,3.616154427934311,3.7696670537775594,1.3571788048180344,1.2611085265278452,1.165508665936152,0.964513751394825,0.8771097606376985,0.8985802609162606,2.324607970167998,2.3303688502803324,2.363062233649902,13.120596130802786,13.91336877586125,14.195552085199854,5.215404817263562,6.50000922888997,7.068032005134315,0.4740148612182957,0.3643533632573801,0.29109949070547614,1.7643696136694628e-09,1.45740096152966e-05,0.0008628257412520333,5.0750042109770614,4.938212624342091,4.95034916885326,3.3498071215684893,3.4147246692724,3.5832664754231294,34.05336145867084,34.346745804919536,34.43905892327454,105.49790818368413,107.66690591267174,111.06018145158939,0.46007455345243764,0.4613519127351841,0.4652991159188948,0.3321528458811068,0.33707947327736504,0.3428207734307159,34.33826804136836,38.104390287180244,39.52119107185889,26.379052255029293,26.36872405311165,27.40033671684979,13.824586228840367,14.03099727178891,13.602378616487938
22023,1628389,0022300949,2024-03-13,MIA vs. DEN,L,34,7,15,0.467,1,1,1.0,2,4,0.5,1,12,13,3,1,1,0,2,17,-12,1,1628389,Bam Adebayo,DEN,14.520411171906655,16.33934720995978,17.55636537701082,11.24265714934434,10.323475206958324,10.20074328257747,3.066533087857835,3.3223081683098905,3.601127334370173,1.5714525365453564,1.3954524307955096,1.24498403108509,0.9763425009298834,0.8994534405217532,0.9082392836861406,1.5497386467786654,1.9066654229566353,2.1380086875880067,13.413730753868524,13.92911990752284,14.176928077085583,5.810269878175708,6.5909166418190654,7.061552766550094,0.31600990747886387,0.2981072972105837,0.263375729685907,1.1762464091129754e-09,1.1924189685242673e-05,0.0007806518611327921,5.383336140651375,5.13126487446171,5.0503159146767596,2.899871414378993,3.157502002131963,3.432479192049498,34.3689076391139,34.46551929493416,34.49248188296268,113.08465453152637,113.83811339176422,116.38868986718325,0.5048462427835096,0.49896975748588357,0.5008703347453074,0.4085494318138657,0.39862172918365946,0.38500768550501013,42.33049012025795,44.29186573680319,46.60199761160718,30.85907804685054,30.413355512267174,30.685457223717417,11.448206473148096,11.896279097072643,12.85867268646166
22023,1628389,0022300962,2024-03-15,MIA @ DET,W,29,10,14,0.714,1,1,1.0,1,3,0.333,3,6,9,2,2,3,0,1,22,17,1,1628389,Bam Adebayo,DET,15.346940781271105,16.459465899058,17.503378198247884,11.828438099562895,10.810116078420446,10.467339160427235,3.0443553919052238,3.2637066831626376,3.543877112049204,1.3809683576969043,1.3235519888326897,1.2216522186007956,0.9842283339532556,0.9177346331541617,0.9169783995255558,1.0331590978524436,1.5599989824190652,1.9343888125796251,13.942487169245684,14.123825378882323,14.255315879267908,6.206846585450472,6.665295434215599,7.055690598307228,0.5440066049859092,0.4257241522632048,0.33353042209677297,0.3333333341174976,0.18182793797337884,0.09594439930292967,4.922224093767584,4.925580351832308,4.950285827564687,2.599914276252662,2.947047092653424,3.296052602330498,34.24593842607594,34.38087942312795,34.445578846490044,99.50331331856846,99.62490171562499,99.1269881105792,0.4397765346168876,0.43466687775719065,0.4270001294373928,0.316952051400152,0.30734351450904124,0.29829116186344334,43.45166234612853,42.45550188210137,41.38046345202646,22.515878735571988,21.87517022421048,20.91268064254311,13.359920445508502,13.574074582895557,13.611457268730172
22023,1628389,0022300977,2024-03-17,MIA @ DET,W,38,9,13,0.692,1,1,1.0,1,2,0.5,4,13,17,3,1,0,3,2,20,5,1,1628389,Bam Adebayo,DET,17.56462718751407,17.46683573559291,17.93162789365285,10.885625399708598,10.481004064162182,10.32759257371988,2.696236927936816,3.0339418316785216,3.3968411966159464,1.587312238464603,1.4465425363176552,1.2957805787340533,1.6561522226355039,1.2963283362170412,1.1153614090945505,0.6887727319016291,1.2763628037974168,1.7501613066196609,13.961658112830456,14.10131167363099,14.231000081242392,7.471231056966982,7.271605355267308,7.3361010175160635,0.6960044033239395,0.530137942760804,0.3970037152304136,0.5555555560783317,0.3305864947054918,0.18204493270265065,4.281482729178389,4.575474833317343,4.764544320177574,2.066609517501775,2.593038530352801,3.0773809259180696,32.49729228405063,33.402537709831954,33.926952289681466,98.75496997785268,99.31932431909722,98.92982896432439,0.43066480192533135,0.4294817394810108,0.4237369851676447,0.280928077100228,0.2891976288443837,0.28874286311222686,43.177493519192794,42.1122800781239,41.10472276276609,21.77381810335798,21.402985829590587,20.587699657547645,14.03988066826275,13.923868934650127,13.781084349649138
22023,1628389,0022300985,2024-03-18,MIA @ PHI,L,32,8,10,0.8,2,2,1.0,2,2,1.0,3,10,13,6,0,0,4,1,20,-19,1,1628389,Bam Adebayo,PHI,18.37641812500938,17.9274110563942,18.128615713304956,12.923750266472398,11.66627605249633,10.96305994765132,2.797491285291211,3.027770589555154,3.3590467969382374,1.3915414923097353,1.3653529842598997,1.2676109998070006,1.1041014817570027,1.0606322750866701,1.0091365129903076,1.4591818212677528,1.5897513849251592,1.8691935631320742,13.641105408553639,13.901073187516264,14.113761978266927,7.980820704644655,7.585858927036888,7.494567587276438,0.7973362688826264,0.615567407713385,0.4544319328275171,0.7037037040522212,0.4522980411226751,0.25994541530239823,3.5209884861189265,4.107206681805098,4.501254384922567,1.71107301166785,2.3033951611977463,2.879535123449682,34.33152818936709,34.23843994440796,34.31486159542609,104.94845900109327,108.38054242864952,109.9521680805353,0.43599664810706495,0.4492222780439548,0.4506084221078774,0.35206345953737106,0.36835093800186464,0.3654776185888944,41.70956073518353,43.44390279956494,46.67452707522071,26.757424311133946,26.381686711645685,27.11459267501483,9.86324665704503,10.820910430487832,11.412989416985011
22023,1628389,0022301013,2024-03-22,MIA vs. NOP,L,30,4,7,0.571,1,2,0.5,3,4,0.75,1,9,10,1,0,2,0,1,12,-16,1,1628389,Bam Adebayo,NOP,18.917612083339588,18.30424540977707,18.306842788228295,12.949166844314933,11.908771315678816,11.157054238351195,3.8649941901941407,3.568175936908762,3.6105661496107864,0.9276943282064903,1.117106987121736,1.1468861426825243,0.7360676545046686,0.86779004325273,0.9130282736578974,2.3061212141785017,2.0279784058478576,2.072127509500448,12.427403605702427,13.191787153422398,13.721975123193886,7.987213803096437,7.661157303939271,7.542704007535825,1.1982241792550843,0.8672824244927695,0.6016288916058488,1.1358024693681474,0.7336983972821887,0.4256648995593127,3.0139923240792847,3.724078194204171,4.2630396815966085,1.8073820077785667,2.248232404616338,2.7957698735973313,33.55435212624473,33.831450863606506,34.09439858633789,109.77964063743673,109.51926664459859,109.52983461131886,0.46161003008800605,0.4619453089026901,0.4672016611713215,0.34197011521504744,0.361996184183722,0.3811483913994603,40.64379865309603,40.39855825363708,40.008820134645674,25.435728519252375,25.50029910148195,25.743930717234548,9.545518693514428,10.915152999195023,13.155206020410493
