Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,WAS,24.4,57.0,70.9,1.2,16.8,4.3,1.1,2.1,2.4
,CHI,23.8,54.8,72.5,1.2,14.9,4.5,1.4,2.1,1.8
,UTA,23.3,54.6,71.7,1.2,14.8,4.3,1.6,2.5,2.2
,TOR,22.6,57.3,72.3,1.1,16.0,4.8,1.4,2.7,2.6
,CHA,21.6,53.9,74.3,1.3,16.0,4.5,1.7,1.9,2.4
