POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,4,0022300499,2024-01-07,1610612737,ATL,1610612753,ORL,4,28,78,4.0,0.0,28.0,0.0,78.0,0.0,1,4.0,0.0
F,28,0022300499,2024-01-07,1610612737,ATL,1610612753,ORL,4,28,78,4.0,0.0,28.0,0.0,78.0,0.0,1,28.0,0.0
G,78,0022300499,2024-01-07,1610612737,ATL,1610612753,ORL,4,28,78,4.0,0.0,28.0,0.0,78.0,0.0,1,78.0,0.0
C,4,0022300499,2024-01-07,1610612737,ATL,1610612753,ORL,4,28,78,4.0,0.0,28.0,0.0,78.0,0.0,2,4.0,0.0
F,28,0022300499,2024-01-07,1610612737,ATL,1610612753,ORL,4,28,78,4.0,0.0,28.0,0.0,78.0,0.0,2,28.0,0.0
G,78,0022300499,2024-01-07,1610612737,ATL,1610612753,ORL,4,28,78,4.0,0.0,28.0,0.0,78.0,0.0,2,78.0,0.0
C,19,0022300521,2024-01-10,1610612737,ATL,1610612755,PHI,19,40,80,12.25,6.75,34.6,5.399999999999999,79.1,0.9000000000000057,3,12.25,6.75
F,40,0022300521,2024-01-10,1610612737,ATL,1610612755,PHI,19,40,80,12.25,6.75,34.6,5.399999999999999,79.1,0.9000000000000057,3,34.6,5.399999999999999
G,80,0022300521,2024-01-10,1610612737,ATL,1610612755,PHI,19,40,80,12.25,6.75,34.6,5.399999999999999,79.1,0.9000000000000057,3,79.1,0.9000000000000057
C,19,0022300521,2024-01-10,1610612737,ATL,1610612755,PHI,19,40,80,12.25,6.75,34.6,5.399999999999999,79.1,0.9000000000000057,4,12.25,6.75
F,40,0022300521,2024-01-10,1610612737,ATL,1610612755,PHI,19,40,80,12.25,6.75,34.6,5.399999999999999,79.1,0.9000000000000057,4,34.6,5.399999999999999
G,80,0022300521,2024-01-10,1610612737,ATL,1610612755,PHI,19,40,80,12.25,6.75,34.6,5.399999999999999,79.1,0.9000000000000057,4,79.1,0.9000000000000057
C,7,0022300533,2024-01-12,1610612737,ATL,1610612754,IND,7,33,64,10.13953488372093,-3.1395348837209305,33.95681063122924,-0.9568106312292386,73.02990033222592,-9.029900332225921,5,10.13953488372093,-3.1395348837209305
F,33,0022300533,2024-01-12,1610612737,ATL,1610612754,IND,7,33,64,10.13953488372093,-3.1395348837209305,33.95681063122924,-0.9568106312292386,73.02990033222592,-9.029900332225921,5,33.95681063122924,-0.9568106312292386
G,64,0022300533,2024-01-12,1610612737,ATL,1610612754,IND,7,33,64,10.13953488372093,-3.1395348837209305,33.95681063122924,-0.9568106312292386,73.02990033222592,-9.029900332225921,5,73.02990033222592,-9.029900332225921
C,7,0022300533,2024-01-12,1610612737,ATL,1610612754,IND,7,33,64,10.13953488372093,-3.1395348837209305,33.95681063122924,-0.9568106312292386,73.02990033222592,-9.029900332225921,6,10.13953488372093,-3.1395348837209305
F,33,0022300533,2024-01-12,1610612737,ATL,1610612754,IND,7,33,64,10.13953488372093,-3.1395348837209305,33.95681063122924,-0.9568106312292386,73.02990033222592,-9.029900332225921,6,33.95681063122924,-0.9568106312292386
G,64,0022300533,2024-01-12,1610612737,ATL,1610612754,IND,7,33,64,10.13953488372093,-3.1395348837209305,33.95681063122924,-0.9568106312292386,73.02990033222592,-9.029900332225921,6,73.02990033222592,-9.029900332225921
C,4,0022300543,2024-01-13,1610612737,ATL,1610612764,WAS,4,21,69,8.116831683168316,-4.116831683168316,29.68811881188119,-8.68811881188119,71.70222772277228,-2.702227722772278,7,8.116831683168316,-4.116831683168316
F,21,0022300543,2024-01-13,1610612737,ATL,1610612764,WAS,4,21,69,8.116831683168316,-4.116831683168316,29.68811881188119,-8.68811881188119,71.70222772277228,-2.702227722772278,7,29.68811881188119,-8.68811881188119
G,69,0022300543,2024-01-13,1610612737,ATL,1610612764,WAS,4,21,69,8.116831683168316,-4.116831683168316,29.68811881188119,-8.68811881188119,71.70222772277228,-2.702227722772278,7,71.70222772277228,-2.702227722772278
C,4,0022300543,2024-01-13,1610612737,ATL,1610612764,WAS,4,21,69,8.116831683168316,-4.116831683168316,29.68811881188119,-8.68811881188119,71.70222772277228,-2.702227722772278,8,8.116831683168316,-4.116831683168316
F,21,0022300543,2024-01-13,1610612737,ATL,1610612764,WAS,4,21,69,8.116831683168316,-4.116831683168316,29.68811881188119,-8.68811881188119,71.70222772277228,-2.702227722772278,8,29.68811881188119,-8.68811881188119
G,69,0022300543,2024-01-13,1610612737,ATL,1610612764,WAS,4,21,69,8.116831683168316,-4.116831683168316,29.68811881188119,-8.68811881188119,71.70222772277228,-2.702227722772278,8,71.70222772277228,-2.702227722772278
C,13,0022300559,2024-01-15,1610612737,ATL,1610612759,SAS,13,26,70,9.518656496931433,3.481343503068567,28.629360208623364,-2.629360208623364,71.21356443991294,-1.2135644399129433,9,9.518656496931433,3.481343503068567
F,26,0022300559,2024-01-15,1610612737,ATL,1610612759,SAS,13,26,70,9.518656496931433,3.481343503068567,28.629360208623364,-2.629360208623364,71.21356443991294,-1.2135644399129433,9,28.629360208623364,-2.629360208623364
