POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,ROLLING_AVG_PTS,GAMES_PLAYED,PTS_DIFF
C,15,0022300063,2023-10-25,1610612737,ATL,1610612766,CHA,15.0,1,0.0
C,15,0022300063,2023-10-25,1610612737,ATL,1610612766,CHA,15.0,2,0.0
F,24,0022300063,2023-10-25,1610612737,ATL,1610612766,CHA,24.0,1,0.0
F,24,0022300063,2023-10-25,1610612737,ATL,1610612766,CHA,24.0,2,0.0
G,69,0022300063,2023-10-25,1610612737,ATL,1610612766,CHA,69.0,1,0.0
G,69,0022300063,2023-10-25,1610612737,ATL,1610612766,CHA,69.0,2,0.0
C,30,0022300065,2023-10-25,1610612738,BOS,1610612752,NYK,30.0,1,0.0
F,45,0022300065,2023-10-25,1610612738,BOS,1610612752,NYK,45.0,1,0.0
G,29,0022300065,2023-10-25,1610612738,BOS,1610612752,NYK,29.0,1,0.0
C,10,0022300067,2023-10-25,1610612739,CLE,1610612751,BKN,10.0,1,0.0
F,45,0022300067,2023-10-25,1610612739,CLE,1610612751,BKN,45.0,1,0.0
G,53,0022300067,2023-10-25,1610612739,CLE,1610612751,BKN,53.0,1,0.0
C,12,0022300071,2023-10-25,1610612740,NOP,1610612763,MEM,12.0,1,0.0
C,12,0022300071,2023-10-25,1610612740,NOP,1610612763,MEM,12.0,2,0.0
F,42,0022300071,2023-10-25,1610612740,NOP,1610612763,MEM,42.0,1,0.0
F,42,0022300071,2023-10-25,1610612740,NOP,1610612763,MEM,42.0,2,0.0
G,54,0022300071,2023-10-25,1610612740,NOP,1610612763,MEM,54.0,1,0.0
G,54,0022300071,2023-10-25,1610612740,NOP,1610612763,MEM,54.0,2,0.0
C,11,0022300070,2023-10-25,1610612741,CHI,1610612760,OKC,11.0,1,0.0
F,28,0022300070,2023-10-25,1610612741,CHI,1610612760,OKC,28.0,1,0.0
G,57,0022300070,2023-10-25,1610612741,CHI,1610612760,OKC,57.0,1,0.0
C,6,0022300073,2023-10-25,1610612742,DAL,1610612759,SAS,6.0,1,0.0
F,17,0022300073,2023-10-25,1610612742,DAL,1610612759,SAS,17.0,1,0.0
G,99,0022300073,2023-10-25,1610612742,DAL,1610612759,SAS,99.0,1,0.0
C,29,0022300061,2023-10-24,1610612743,DEN,1610612747,LAL,29.0,1,0.0
C,29,0022300061,2023-10-24,1610612743,DEN,1610612747,LAL,29.0,2,0.0
