Position,Team,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
,WAS,25.0,45.0,85.8,3.2,6.6,9.0,2.3,0.6,2.8
,ATL,24.8,47.1,87.6,3.4,5.9,8.7,2.0,0.6,3.4
,UTA,24.6,46.2,82.2,3.1,6.1,9.6,2.5,0.9,2.8
,CHI,24.2,44.2,82.6,3.4,6.5,9.4,2.0,0.7,2.7
,CHA,23.9,44.8,83.4,3.0,6.4,8.2,1.9,0.9,2.9
