POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,13,0022300669,2024-01-30,1610612737,ATL,1610612747,LAL,13.0,37.0,85.0,13.0,0.0,37.0,0.0,85.0,0.0,1,13.0,0.0
F,37,0022300669,2024-01-30,1610612737,ATL,1610612747,LAL,13.0,37.0,85.0,13.0,0.0,37.0,0.0,85.0,0.0,1,37.0,0.0
G,85,0022300669,2024-01-30,1610612737,ATL,1610612747,LAL,13.0,37.0,85.0,13.0,0.0,37.0,0.0,85.0,0.0,1,85.0,0.0
C,13,0022300669,2024-01-30,1610612737,ATL,1610612747,LAL,13.0,37.0,85.0,13.0,0.0,37.0,0.0,85.0,0.0,2,13.0,0.0
F,37,0022300669,2024-01-30,1610612737,ATL,1610612747,LAL,13.0,37.0,85.0,13.0,0.0,37.0,0.0,85.0,0.0,2,37.0,0.0
G,85,0022300669,2024-01-30,1610612737,ATL,1610612747,LAL,13.0,37.0,85.0,13.0,0.0,37.0,0.0,85.0,0.0,2,85.0,0.0
C,11,0022300690,2024-02-02,1610612737,ATL,1610612756,PHX,11.0,18.0,98.0,11.9,-0.9000000000000004,26.55,-8.55,92.14999999999999,5.8500000000000085,3,11.9,-0.9000000000000004
F,18,0022300690,2024-02-02,1610612737,ATL,1610612756,PHX,11.0,18.0,98.0,11.9,-0.9000000000000004,26.55,-8.55,92.14999999999999,5.8500000000000085,3,26.55,-8.55
G,98,0022300690,2024-02-02,1610612737,ATL,1610612756,PHX,11.0,18.0,98.0,11.9,-0.9000000000000004,26.55,-8.55,92.14999999999999,5.8500000000000085,3,92.14999999999999,5.8500000000000085
C,11,0022300690,2024-02-02,1610612737,ATL,1610612756,PHX,11.0,18.0,98.0,11.9,-0.9000000000000004,26.55,-8.55,92.14999999999999,5.8500000000000085,4,11.9,-0.9000000000000004
F,18,0022300690,2024-02-02,1610612737,ATL,1610612756,PHX,11.0,18.0,98.0,11.9,-0.9000000000000004,26.55,-8.55,92.14999999999999,5.8500000000000085,4,26.55,-8.55
G,98,0022300690,2024-02-02,1610612737,ATL,1610612756,PHX,11.0,18.0,98.0,11.9,-0.9000000000000004,26.55,-8.55,92.14999999999999,5.8500000000000085,4,92.14999999999999,5.8500000000000085
C,17,0022300699,2024-02-03,1610612737,ATL,1610612744,GSW,17.0,29.0,95.0,13.950166112956811,3.0498338870431887,27.53488372093023,1.4651162790697683,93.29568106312293,1.7043189368770726,5,13.950166112956811,3.0498338870431887
