POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,8,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,8,32,78,8.0,0.0,32.0,0.0,78.0,0.0,1,8.0,0.0
F,32,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,8,32,78,8.0,0.0,32.0,0.0,78.0,0.0,1,32.0,0.0
G,78,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,8,32,78,8.0,0.0,32.0,0.0,78.0,0.0,1,78.0,0.0
C,8,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8,23,80,11.977392600145095,-3.9773926001450945,27.09280210191957,-4.09280210191957,78.7255544008941,1.2744455991059027,2,11.977392600145095,-3.9773926001450945
F,23,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8,23,80,11.977392600145095,-3.9773926001450945,27.09280210191957,-4.09280210191957,78.7255544008941,1.2744455991059027,2,27.09280210191957,-4.09280210191957
G,80,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8,23,80,11.977392600145095,-3.9773926001450945,27.09280210191957,-4.09280210191957,78.7255544008941,1.2744455991059027,2,78.7255544008941,1.2744455991059027
C,8,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8,23,80,11.977392600145095,-3.9773926001450945,27.09280210191957,-4.09280210191957,78.7255544008941,1.2744455991059027,3,11.977392600145095,-3.9773926001450945
F,23,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8,23,80,11.977392600145095,-3.9773926001450945,27.09280210191957,-4.09280210191957,78.7255544008941,1.2744455991059027,3,27.09280210191957,-4.09280210191957
G,80,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8,23,80,11.977392600145095,-3.9773926001450945,27.09280210191957,-4.09280210191957,78.7255544008941,1.2744455991059027,3,78.7255544008941,1.2744455991059027
C,17,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,17,27,70,12.950000000000001,4.049999999999999,29.25,-2.25,73.6,-3.5999999999999943,4,12.950000000000001,4.049999999999999
F,27,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,17,27,70,12.950000000000001,4.049999999999999,29.25,-2.25,73.6,-3.5999999999999943,4,29.25,-2.25
G,70,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,17,27,70,12.950000000000001,4.049999999999999,29.25,-2.25,73.6,-3.5999999999999943,4,73.6,-3.5999999999999943
C,17,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,17,27,70,12.950000000000001,4.049999999999999,29.25,-2.25,73.6,-3.5999999999999943,5,12.950000000000001,4.049999999999999
F,27,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,17,27,70,12.950000000000001,4.049999999999999,29.25,-2.25,73.6,-3.5999999999999943,5,29.25,-2.25
G,70,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,17,27,70,12.950000000000001,4.049999999999999,29.25,-2.25,73.6,-3.5999999999999943,5,73.6,-3.5999999999999943
C,14,0022300039,2023-11-21,1610612737,ATL,1610612754,IND,14,24,111,13.372093023255815,0.6279069767441854,27.13953488372093,-3.1395348837209305,88.63455149501661,22.36544850498339,6,13.372093023255815,0.6279069767441854
F,24,0022300039,2023-11-21,1610612737,ATL,1610612754,IND,14,24,111,13.372093023255815,0.6279069767441854,27.13953488372093,-3.1395348837209305,88.63455149501661,22.36544850498339,6,27.13953488372093,-3.1395348837209305
G,111,0022300039,2023-11-21,1610612737,ATL,1610612754,IND,14,24,111,13.372093023255815,0.6279069767441854,27.13953488372093,-3.1395348837209305,88.63455149501661,22.36544850498339,6,88.63455149501661,22.36544850498339
C,14,0022300039,2023-11-21,1610612737,ATL,1610612754,IND,14,24,111,13.372093023255815,0.6279069767441854,27.13953488372093,-3.1395348837209305,88.63455149501661,22.36544850498339,7,13.372093023255815,0.6279069767441854
